timestamp_iso,elapsed_min,rss_kb
2026-08-19T13:54:52.356Z,1,
2026-08-19T13:55:52.409Z,2,
2026-08-19T13:56:52.379Z,3,
2026-08-19T13:57:52.403Z,4,
2026-08-19T13:58:52.363Z,5,
2026-08-19T13:59:52.437Z,6,
2026-08-19T14:00:52.385Z,7,
2026-08-19T14:01:52.442Z,8,
2026-08-19T14:02:52.449Z,9,
2026-08-19T14:03:52.433Z,10,
2026-08-19T14:04:52.483Z,11,
2026-08-19T14:05:52.421Z,12,
2026-08-19T14:06:52.484Z,13,
2026-08-19T14:07:52.463Z,14,
2026-08-19T14:08:52.509Z,15,
2026-08-19T14:09:52.513Z,16,
2026-08-19T14:10:52.488Z,17,
2026-08-19T14:11:52.529Z,18,
2026-08-19T14:12:52.481Z,19,
2026-08-19T14:13:52.483Z,20,
2026-08-19T14:14:52.523Z,21,
2026-08-19T14:15:52.588Z,22,
2026-08-19T14:16:52.595Z,23,
2026-08-19T14:17:52.639Z,24,
2026-08-19T14:18:52.603Z,25,
2026-08-19T14:19:52.588Z,26,
2026-08-19T14:20:52.621Z,27,
2026-08-19T14:21:52.596Z,28,
2026-08-19T14:22:52.621Z,29,
2026-08-19T14:23:52.598Z,30,
2026-08-19T14:24:52.634Z,31,
2026-08-19T14:25:52.617Z,32,
2026-08-19T14:26:52.660Z,33,
2026-08-19T14:27:52.657Z,34,
2026-08-19T14:28:52.639Z,35,
2026-08-19T14:29:52.679Z,36,
2026-08-19T14:30:52.666Z,37,
2026-08-19T14:31:52.670Z,38,
2026-08-19T14:32:52.672Z,39,
2026-08-19T14:33:52.747Z,40,
2026-08-19T14:34:52.667Z,41,
2026-08-19T14:35:52.726Z,42,
2026-08-19T14:36:52.691Z,43,
2026-08-19T14:37:52.705Z,44,
2026-08-19T14:38:52.696Z,45,
2026-08-19T14:39:52.727Z,46,
2026-08-19T14:40:52.749Z,47,
2026-08-19T14:41:52.759Z,48,
2026-08-19T14:42:52.686Z,49,
2026-08-19T14:43:52.832Z,50,
2026-08-19T14:44:52.717Z,51,
2026-08-19T14:45:52.766Z,52,
2026-08-19T14:46:52.777Z,53,
2026-08-19T14:47:52.785Z,54,
2026-08-19T14:48:52.845Z,55,
2026-08-19T14:49:52.802Z,56,
2026-08-19T14:50:52.877Z,57,
2026-08-19T14:51:52.855Z,58,
2026-08-19T14:52:52.845Z,59,
2026-08-19T14:53:52.883Z,60,
2026-08-19T14:54:52.876Z,61,
2026-08-19T14:55:52.885Z,62,
2026-08-19T14:56:52.867Z,63,
2026-08-19T14:57:52.976Z,64,
2026-08-19T14:58:52.917Z,65,
2026-08-19T14:59:52.894Z,66,
2026-08-19T15:00:52.945Z,67,
2026-08-19T15:01:52.920Z,68,
2026-08-19T15:02:52.928Z,69,
2026-08-19T15:03:52.937Z,70,
2026-08-19T15:04:53.054Z,71,
2026-08-19T15:05:52.996Z,72,
2026-08-19T15:06:53.023Z,73,
2026-08-19T15:07:53.016Z,74,
2026-08-19T15:08:53.037Z,75,
2026-08-19T15:09:53.006Z,76,
2026-08-19T15:10:53.004Z,77,
2026-08-19T15:11:53.045Z,78,
2026-08-19T15:12:53.034Z,79,
2026-08-19T15:13:53.060Z,80,
2026-08-19T15:14:53.050Z,81,
2026-08-19T15:15:53.058Z,82,
2026-08-19T15:16:53.068Z,83,
2026-08-19T15:17:53.053Z,84,
2026-08-19T15:18:53.098Z,85,
2026-08-19T15:19:53.092Z,86,
2026-08-19T15:20:53.137Z,87,
2026-08-19T15:21:53.087Z,88,
2026-08-19T15:22:53.070Z,89,
2026-08-19T15:23:53.123Z,90,
2026-08-19T15:24:53.179Z,91,
2026-08-19T15:25:53.184Z,92,
2026-08-19T15:26:53.145Z,93,
2026-08-19T15:27:53.164Z,94,
2026-08-19T15:28:53.135Z,95,
2026-08-19T15:29:53.239Z,96,
2026-08-19T15:30:53.161Z,97,
2026-08-19T15:31:53.198Z,98,
2026-08-19T15:32:53.185Z,99,
2026-08-19T15:33:53.205Z,100,
2026-08-19T15:34:53.196Z,101,
2026-08-19T15:35:53.223Z,102,
2026-08-19T15:36:53.231Z,103,
2026-08-19T15:37:53.220Z,104,
2026-08-19T15:38:53.210Z,105,
2026-08-19T15:39:53.214Z,106,
2026-08-19T15:40:53.200Z,107,
2026-08-19T15:41:53.263Z,108,
2026-08-19T15:42:53.263Z,109,
